rest_name,rating,pro_offer,offer,del_time,category,cost_for_one,recent_orders_count
Idly2Roti,New,,30% OFF,43 min,"Biryani, North Indian, South Indian, Chinese, BBQ",₹100 for one,1425+ orders placed from here recently
HMR - Grand Kitchen,4.1,,40% OFF,32 min,"South Indian, Hyderabadi, Chinese, Biryani, Desserts, Ice Cream, Beverages, Shake",₹100 for one,4125+ orders placed from here recently
Saravana's Kitchen,New,,20% OFF,40 min,"Biryani, North Indian, Chinese, Bengali",₹100 for one,375+ orders placed from here recently
Sree Annapoorna Sree Gowrishankar,4.2,,20% OFF,38 min,"South Indian, North Indian, Chinese, Beverages, Shake",₹100 for one,5150+ orders placed from here recently
Courtallam Border Rahmath Kadai,3.7,,60% OFF,37 min,"South Indian, Biryani",₹100 for one,2500+ orders placed from here recently
Sree Subbu Mess,4.2,,20% OFF,31 min,"South Indian, North Indian, Chinese",₹100 for one,2075+ orders placed from here recently
Kovai Biryani Hotel,3.9,,30% OFF,48 min,"Biryani, South Indian, Chinese, North Indian",₹100 for one,850+ orders placed from here recently
Abitha Biriyani Hotel,4.1,,Pro extra 15% OFF,43 min,"Biryani, South Indian",₹100 for one,12150+ orders placed from here recently
UBQ By Barbeque Nation,3.8,,50% OFF,43 min,"North Indian, Kebab, BBQ, Biryani",₹100 for one,725+ orders placed from here recently
Haribhavanam,4.0,,Pro extra 10% OFF,37 min,"Chettinad, Chinese, North Indian, South Indian, Seafood",₹200 for one,2350+ orders placed from here recently
Haribhavanam,4.0,,Pro extra 10% OFF,42 min,"Chettinad, Chinese, North Indian, South Indian, Seafood",₹200 for one,9925+ orders placed from here recently
Hotel Maa,3.9,,30% OFF,36 min,South Indian,₹200 for one,3625+ orders placed from here recently
Shree Anandhaas,4.2,,,35 min,"South Indian, North Indian, Chinese, Beverages",₹200 for one,1500+ orders placed from here recently
KFC,3.9,,40% OFF,41 min,"Burger, Fast Food, Beverages, Desserts",₹200 for one,4875+ orders placed from here recently
Dindigul Thalappakatti,3.8,,40% OFF,43 min,"Biryani, South Indian, Chinese, North Indian",₹200 for one,3200+ orders placed from here recently
Hotel Chola,3.7,,30% OFF,34 min,"South Indian, Chinese",₹200 for one,1950+ orders placed from here recently
Hotel Chola,4.1,,,42 min,"Fast Food, South Indian, Chinese",₹200 for one,2250+ orders placed from here recently
Domino's Pizza,4.1,,,30 min,"Pizza, Fast Food, Desserts, Beverages",₹200 for one,1725+ orders placed from here recently
Priya Hotel,3.9,Pro extra 25% OFF,50% OFF,39 min,South Indian,₹200 for one,4500+ orders placed from here recently
SS Hyderabad Biryani,4.4,,60% OFF,36 min,"Biryani, Chinese, Mughlai, North Indian, Seafood",₹200 for one,15775+ orders placed from here recently
Alif Paradise Biriyani,3.6,Pro extra 15% OFF,50% OFF,44 min,"Chinese, North Indian, Biryani, South Indian",₹200 for one,4175+ orders placed from here recently
Shree Aksshayam,4.0,,40% OFF,42 min,"South Indian, Chinese, Street Food, North Indian, Sandwich, Desserts, Beverages, Shake",₹100 for one,3475+ orders placed from here recently
Denmarrk Drive - Inn Restaurant,3.9,Pro extra 20% OFF,60% OFF,39 min,"North Indian, Chinese, Seafood",₹100 for one,8675+ orders placed from here recently
Sri Velan Chettinadu Mess,4.0,Pro extra 15% OFF,40% OFF,43 min,"South Indian, Chinese, North Indian",₹100 for one,13950+ orders placed from here recently
Burma Bhai Hotel,4.2,,20% OFF,34 min,"South Indian, North Indian, Chinese",₹100 for one,2175+ orders placed from here recently
Valarmathi Kongunaatu Samayal,4.2,Pro extra 15% OFF,20% OFF,42 min,"South Indian, Biryani",₹100 for one,6425+ orders placed from here recently
Thalassery Restaurant,4.1,,20% OFF,42 min,"South Indian, Chinese, North Indian, Arabian, Beverages",₹100 for one,2950+ orders placed from here recently
Malabar Restaurant,3.7,,10% OFF,34 min,"Kerala, South Indian",₹100 for one,1900+ orders placed from here recently
Burger King,4.1,,40% OFF,43 min,"Burger, Fast Food, Beverages",₹100 for one,3500+ orders placed from here recently
Chennai's Biriyani House,3.9,Pro extra 20% OFF,50% OFF,39 min,"South Indian, Biryani, North Indian, Chinese, Fast Food, Lebanese",₹100 for one,1900+ orders placed from here recently
Hotel Delhi Dharbarr,3.8,Pro extra 15% OFF,60% OFF,47 min,"South Indian, Chinese, Biryani, Kebab, North Indian, Lebanese",₹100 for one,7600+ orders placed from here recently
Adyar Ananda Bhavan,4.2,,40% OFF,29 min,"South Indian, Mithai, Street Food, Sandwich, Chinese, Fast Food, Desserts, Beverages",₹100 for one,4200+ orders placed from here recently
Ananth Bhavan,3.8,Pro extra 25% OFF,60% OFF,36 min,South Indian,₹100 for one,4225+ orders placed from here recently
Hotel Chola,4.0,,Flat 10% OFF,30 min,"Biryani, South Indian, Chinese, Fast Food",₹100 for one,950+ orders placed from here recently
A-1 Briyani Hotel,3.9,,,39 min,"Biryani, Chinese",₹100 for one,825+ orders placed from here recently
Shahi Grill,4.0,,,42 min,"Chettinad, North Indian, Chinese",₹100 for one,3100+ orders placed from here recently
Dindigul Venu Biryani,4.0,,30% OFF,39 min,"Biryani, South Indian, North Indian, Shake",₹100 for one,1825+ orders placed from here recently
Selvam Chettinad Mess,3.8,Pro extra 20% OFF,40% OFF,48 min,"South Indian, Chinese, Chettinad",₹100 for one,3450+ orders placed from here recently
Ammayi Veedu Pot Cook,4.0,,,32 min,"South Indian, Biryani",₹100 for one,1550+ orders placed from here recently
Ambur Star Briyani,4.0,,40% OFF,37 min,"Biryani, Chinese, North Indian, Seafood",₹100 for one,2025+ orders placed from here recently
FB Cakes,4.3,Pro extra 20% OFF,50% OFF,26 min,"Bakery, Desserts",₹100 for one,1550+ orders placed from here recently
Haaji Biriyani,3.9,,Flat 15% OFF,34 min,"North Indian, Chinese, Biryani, Chettinad, Arabian, Mughlai",₹100 for one,350+ orders placed from here recently
Sita Paani,3.8,,Flat 10% OFF,30 min,"North Indian, Mughlai, Chinese, Biryani, Seafood, Desserts, Beverages",₹100 for one,1075+ orders placed from here recently
Keventers - Milkshakes & Ice Creams,4.0,Pro extra 10% OFF,50% OFF,42 min,"Beverages, Ice Cream, Desserts, Shake",₹100 for one,325+ orders placed from here recently
GoParatha,4.4,,10% OFF,40 min,North Indian,₹100 for one,1625+ orders placed from here recently
Ponni Restaurant,4.0,,,28 min,"South Indian, Chinese, North Indian",₹150 for one,250+ orders placed from here recently
