rest_name,lat,long
Barbeque Nation,10.9941240764,76.9633286074
HMR - Grand Kitchen,11.0138918405,76.9675403461
China Valley Chinese Restaurant,10.9981130168,76.9825409353
Sree Annapoorna Sree Gowrishankar,11.0164963315,76.9655079022
Richy Rich,10.9984957811,76.9764828309
Sree Subbu Mess,11.0161122742,76.9679711759
Hangout,11.0202750073,76.9397801533
Abitha Biriyani Hotel,10.9898026635,76.9632997736
Nin Hao,11.0254650951,76.9368850440
Haribhavanam,11.0179733183,76.9678910449
Haribhavanam,11.0224203600,76.9959674031
Hotel Maa,11.0056431465,76.9751682132
SS Hotel,11.0201078278,76.9675450400
Hotel Chola,11.0216217000,76.9793732000
Shree Anandhaas,11.0171690064,76.9685719907
Hotel Chola,11.0102519649,77.0070335269
KFC,11.0180486813,76.9904480875
Dindigul Thalappakatti,11.0177320000,76.9663970000
SS Hyderabad Biryani,11.0175027847,76.9631118774
Domino's Pizza,11.0068473571,76.9700733572
Denmarrk Drive - Inn Restaurant,11.0362869448,76.9777327403
Shree Aksshayam,11.0208486167,76.9909791648
Alif Paradise Biriyani,11.0209503064,76.9932664186
Burma Bhai Hotel,11.0056461085,76.9686970487
Valarmathi Kongunaatu Samayal,11.0018445361,76.9760848582
Thalassery Restaurant,10.9904385372,76.9608113542
Adyar Ananda Bhavan,11.0162047507,76.9710416347
Ananth Bhavan,11.0143170382,76.9541152194
Sri Velan Chettinadu Mess,11.0230713015,77.0177214593
Chennai's Biriyani House,11.0067252578,76.9519986212
Hotel Delhi Dharbarr,11.0259300957,77.0178807154
Malabar Restaurant,11.0142854446,76.9659994170
Burger King,11.0086584356,76.9595718384
Hotel Chola,11.0035838990,76.9936399162
Ammayi Veedu Pot Cook,11.0192745000,76.9787613000
Shahi Grill,11.0223338090,76.9983515516
Dindigul Venu Biryani,11.0185633870,76.9624488428
Selvam Chettinad Mess,11.0235376222,77.0176601037
MR Moorthy Chettinadu,11.0353967940,76.9760687649
Sri Ganapathy Mess,11.0260146711,77.0010900870
FB Cakes,11.0210144795,76.9716085866
Ambur Star Briyani,11.0127172780,76.9506652281
Biryani In Bucket,11.0174656000,76.9626633000
Keventers - Milkshakes & Desserts,11.0096056026,76.9589180499
GoParatha,11.0136476477,76.9866970181
Haaji Biriyani,11.0214320000,76.9828460000
Ponni Restaurant,11.0184452417,76.9797789305
Hyderabad Biryani,11.0147422353,76.9673455507
RHR Restaurant,10.9970940649,76.9678658992
Hotel Kannappa,11.0412674614,76.9828101620
Aasife Biriyani,11.0549750000,76.9951130000
Seethalakshmi Veg Hotel,11.0081950533,76.9475826994
ALAM Grilled Wraps,11.0087354465,76.9528767094
Pizza2go4u,11.0068221000,76.9976180000
CakeBee,11.0258659237,76.9436931610
Sri Angannan Biriyani Hotel,10.9983924381,76.9644031674
Kanchan Kitchen's,11.0150009000,76.9551339000
Nightout,11.0115446854,76.9870467111
Cock Ra Co,11.0206426045,76.9593217224
Meat And Eat,11.0401578353,76.9816219434
Hotel Junior Kuppanna,11.0186713303,76.9898720831
Sree Ram Mess,11.0262903000,77.0194834000
Courtallam Border Rahmath Kadai,10.9997875658,76.9734438881
Woow Biriyani,11.0521963307,76.9934823364
Thirupathi Mess,10.9963426843,76.9999712706
Kovai Biryani Hotel,11.0090454646,76.9575920329
Hotel Shri Chola,11.0229650053,76.9464900345
AMH Ambur Star Biriyani,11.0337234348,76.9784079865
Geetha Cafe,10.9978362282,76.9691506773
Sri Raja Biryani Hotel,11.0143450117,76.9663098827
D.R. Biriyani,11.0017773968,76.9482173771
Cafe Quilon,11.0080526000,76.9966959000
Chennai Pazhamudir Nilayam,11.0259429301,77.0178894326
Pizza Hut,11.0095924384,76.9588737935
McDonald's,11.0097309917,76.9587829337
Oyalo Pizza,11.0348001775,76.9783808291
MSR Biriyani Hotel,10.9916477467,76.9981778786
Shree Anandhaas Sweets & Snacks,11.0123410000,76.9651450000
Kokkarako Biriyani And Fast Food,11.0281832000,76.9327655000
Zucca Pizzeria,11.0247779592,77.0069470257
SRKP Chettinad Mess,11.0264533438,77.0197190344
Kwality Wall's Frozen Dessert And Ice Cream Shop,11.0401357000,76.9818236000
Subway,11.0223716545,76.9985101372
Hotel Chola,11.0001390619,76.9490756840
ibaco,11.0090846282,76.9596010074
Mr Grill,11.0141811198,76.9854766130
Aroma Bakery,11.0069553046,76.9700723514
Sri Balaji Arul Jothi,10.9972704728,76.9944804534
Shree Renuga Mess,11.0221429361,77.0177331939
Agarwal's The Sweet Shop,11.0025807634,76.9481784850
Sita Paani,11.0398241568,76.9810834900
Behrouz Biryani,11.0153438290,76.9545356557
Royal Biriyani & Fastfood,11.0180954130,76.9687671214
Vaskas Biriyani,11.0221595000,77.0181366000
The Punjab Express,11.0108719976,76.9544437900
The Cake Point,11.0318759826,76.9769331068
Hotel Chola,11.0149729341,76.9844999537
Sms Hotels,11.0223463145,76.9984916970
Sree Velu Biriyani,11.0422584000,76.9839933000
Sree Subbu Mess,10.9971388251,76.9688247889
Taco Bell,11.0089261227,76.9595255712
EatFit,11.0028401046,76.9820437208
MI - Pizza,11.0146214557,76.9452495128
Sri Krishna Bhavan Restaurant,10.9986623147,76.9636484608
Royal Biriyani & Fast Food,11.0255628341,76.9383984804
Hotel Atchaya,11.0114098935,76.9502730295
Sree Annapoorna Sweets & Savouries,11.0164910659,76.9654488936
The Red Box,11.0255894902,77.0150201395
FB Cakes,11.0256013374,77.0150244981
NIC - Natural Ice Creams,11.0284120607,76.9954762235
Fipola Grill House,11.0507971738,76.9908675179
Dood's Bite's,11.0257079617,77.0196083933
Bakingo,11.0265178448,76.9433126226
The Belgian Waffle Co.,11.0091932332,76.9591507316
Kanakathara,11.0462460000,76.9875870000
Pannaiyar Biriyani,11.0202381489,76.9397717715
UBQ By Barbeque Nation,10.9943212209,76.9633617997
Covai Anganan Biriyani House,11.0079156414,76.9577717409
Polar Bear,11.0252587571,76.9393020496
Hotel Safaire,10.9892039799,76.9615258276
Selvamani Canteen,10.9953128653,76.9624733180
Sri Trupthi Mess,10.9965184345,76.9998854399
Hideout Cafe,11.0245482554,77.0065845922
Boomerang,11.0054479843,76.9692837819
Faasos,11.0153438290,76.9545356557
